x,est
232,0.007398956
233,0.005942769
234,0.006541552
235,0.006643441
236,0.008163752
237,0.006326534
238,0.006532256
239,0.006784483
240,0.007780803
241,0.007230483
242,0.006394092
243,0.006582764
244,0.006599227
245,0.00658746
246,0.006901011
247,0.007050485
248,0.006137043
249,0.005662978
250,0.006460777
251,0.006909309
252,0.007616942
253,0.008381097
254,0.006517076
255,0.006577061
256,0.006257831
257,0.008269854
258,0.00642416
259,0.005964879
260,0.007527167
261,0.007435667
262,0.006971878
263,0.005208017
264,0.006197926
265,0.005662299
266,0.006793254
267,0.0078117
268,0.005836172
269,0.006575267
270,0.007458633
271,0.006265655
272,0.006272159
273,0.005867323
274,0.006696329
275,0.006659658
276,0.007132143
277,0.00667452
278,0.006316642
279,0.005836392
280,0.006458358
281,0.006359529
282,0.008145142
283,0.006324844
284,0.006346278
285,0.00681669
286,0.006489593
287,0.007557766
288,0.005784154
289,0.005748219
290,0.006742901
291,0.006029826
292,0.005853665
293,0.006634071
294,0.006676006
295,0.005607204
296,0.006595057
297,0.005497495
298,0.007045196
299,0.006687581
300,0.006875774
301,0.007305373
302,0.005989404
303,0.006443244
304,0.00730365
305,0.005819196
306,0.006286929
307,0.006733271
308,0.008360645
309,0.005968204
310,0.005968033
311,0.006844429
312,0.005486099
313,0.006721698
314,0.007130879
315,0.007110557
316,0.008256872
317,0.007513962
318,0.008339756
319,0.007741666
320,0.007136713
321,0.00677508
322,0.007304798
323,0.006462371
324,0.006351416
325,0.006098124
326,0.008303284
327,0.008154752
328,0.006540389
329,0.006335112
330,0.00786932
331,0.007100566
332,0.007534855
333,0.005002455
334,0.006667374
335,0.006779123
336,0.007358301
337,0.005571861
338,0.007420273
339,0.008240015
340,0.007033546
341,0.007103713
342,0.007760475
343,0.006582328
344,0.005995382
345,0.006395828
346,0.006072307
347,0.007302126
348,0.006092737
349,0.006607976
350,0.006435634
351,0.008068922
352,0.006394771
353,0.006092081
354,0.006595077
355,0.007433438
356,0.005942674
357,0.006144281
358,0.007544683
359,0.006360518
360,0.0068249
361,0.007195865
362,0.005667199
363,0.006587861
364,0.006085362
365,0.007254655
366,0.007114512
367,0.007930001
368,0.007366349
369,0.007812078
370,0.006767902
371,0.006848632
372,0.007229926
373,0.007992475
374,0.005471339
375,0.006749828
376,0.007447867
377,0.005667685
378,0.005709189
379,0.006660078
380,0.00625994
381,0.008417474
382,0.005315857
383,0.006066234
384,0.007476025
385,0.007206804
386,0.007415564
387,0.006874107
388,0.006447469
389,0.006407187
390,0.006116276
391,0.007597324
392,0.00583497
393,0.00826164
394,0.005716184
395,0.006489711
396,0.006154816
397,0.007327729
398,0.005851222
399,0.007641524
400,0.007793016
401,0.004872799
402,0.006646421
403,0.006909806
404,0.005783042
405,0.007792404
406,0.008103062
407,0.00659514
408,0.006635946
409,0.006319093
410,0.007016523
411,0.006837449
412,0.006592889
413,0.008021596
414,0.006100909
415,0.006515945
416,0.007911684
417,0.006659783
418,0.007032687
419,0.00679736
420,0.007537114
421,0.007383892
422,0.006381537
423,0.005259976
424,0.007479791
425,0.0079429
426,0.006589421
427,0.008499623
428,0.007176666
429,0.006092236
430,0.007630756
431,0.006489452
432,0.00692081
433,0.006411685
434,0.007659823
435,0.006389872
436,0.00685172
437,0.006752879
438,0.006865196
439,0.007506728
440,0.006898277
441,0.007322925
442,0.007889229
443,0.006307919
444,0.005792708
445,0.007878329
446,0.006601612
447,0.00736424
448,0.007619175
449,0.00545466
450,0.005228846
451,0.006137634
452,0.007678763
453,0.007320868
454,0.006711393
455,0.007499211
456,0.007000731
457,0.007706531
458,0.006389043
459,0.005924666
460,0.006560495
461,0.006595498
462,0.008295681
463,0.006835669
464,0.007018173
465,0.00567157
466,0.00772413
467,0.007159009
468,0.007042376
469,0.005796979
470,0.006898022
471,0.007553749
472,0.006611242
473,0.007081585
474,0.007040561
475,0.006224877
476,0.006668266
477,0.005822229
478,0.006707599
479,0.00738591
480,0.006474412
481,0.007301805
482,0.004792875
483,0.006030872
484,0.006988944
485,0.007533819
486,0.005407296
487,0.007023415
488,0.006404666
489,0.007150603
